Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
BHLHE40	10	0.16663	1.445	0.207	0.76042	0.14845	0.5813	0.2475	2.1467	0.091	0.45455	0.03182	0.19236
BHLHE41	10	-0.15526	-1.2332	0.353	0.8652	0.2175	0.68454	-0.029941	-0.23788	0.948	0.98238	0.81197	0.90521
BIN1	10	0.35911	2.3481	0.005	0.14286	0.018869	0.26269	0.36927	2.415	0.015	0.16842	0.015734	0.1243
BIN3	10	-0.049464	-0.39373	0.801	0.97655	0.69378	0.92151	-0.060982	-0.48545	0.813	0.95657	0.62736	0.80741
BIRC2	10	0.082551	0.40988	0.513	0.95185	0.68189	0.92151	-0.42175	-2.0902	0.033	0.275	0.036602	0.20259
BIRC3	10	-0.0301	-0.31137	0.903	0.98067	0.75552	0.93455	0.044031	0.45566	0.671	0.89348	0.64864	0.81811
BIRC5	10	-0.13323	-0.71462	0.437	0.93177	0.47484	0.85404	-0.22076	-1.1842	0.254	0.64467	0.23635	0.50827
BIRC6	10	-0.19271	-1.3785	0.262	0.79635	0.16805	0.62011	-0.25731	-1.8408	0.184	0.56966	0.065652	0.2772
BIRC7	10	-0.15597	-1.3492	0.352	0.8652	0.17728	0.6377	-0.092921	-0.80459	0.663	0.89037	0.42106	0.68022
BIVM	10	0.077643	0.5553	0.53	0.95699	0.57869	0.89599	0.086215	0.61671	0.512	0.81947	0.53743	0.75694
BLCAP	10	0.036702	0.49929	0.745	0.97154	0.61757	0.90762	-0.021339	-0.29032	0.992	0.994	0.77157	0.88367
BLK	10	-0.077346	-0.67602	0.669	0.9662	0.49903	0.86262	-0.1111	-0.97109	0.589	0.86404	0.3315	0.60718
BLMH	10	0.0042266	0.025892	0.913	0.98067	0.97934	0.99451	-0.095388	-0.58436	0.654	0.8898	0.55898	0.76994
BLM	10	-0.0023813	-0.012358	0.95	0.98861	0.99014	0.99712	0.11308	0.58778	0.395	0.75382	0.55668	0.76964
BLOC1S2	10	0.0029635	0.016839	0.921	0.98397	0.98657	0.99452	-0.056139	-0.31917	0.827	0.95716	0.7496	0.86961
BLVRB	10	0.12921	0.93122	0.307	0.82493	0.35174	0.78165	0.24295	1.7521	0.094	0.45455	0.079761	0.29809
BLZF1	10	0.17615	1.3342	0.178	0.72065	0.18214	0.64338	0.11595	0.87831	0.382	0.74175	0.37977	0.64698
BMI1	10	0.062541	0.4677	0.61	0.9662	0.64	0.91164	-0.06205	-0.46402	0.811	0.95657	0.64264	0.81553
BMP2K	10	0.016041	0.14143	0.858	0.97945	0.88753	0.97089	0.2223	1.9602	0.113	0.4856	0.049974	0.24252
BMPR1A	10	0.17938	1.516	0.167	0.6971	0.12951	0.55512	0.20631	1.7437	0.128	0.49612	0.081215	0.30094
BMPR1B	10	0.1461	1.1647	0.247	0.78413	0.24413	0.69688	0.25608	2.0418	0.079	0.42246	0.041169	0.21898
BMPR2	10	0.085783	0.46665	0.501	0.95185	0.64075	0.91164	-0.19769	-1.0751	0.314	0.68913	0.28233	0.55907
BMS1	10	0.029134	0.18881	0.78	0.97382	0.85024	0.9564	-0.45093	-2.9199	0.026	0.24074	0.0035012	0.042926
BMX	10	0.32085	2.199	0.013	0.23636	0.027876	0.31677	0.41121	2.8187	0.006	0.085714	0.0048214	0.054444
BNC1	10	0.14507	1.3083	0.256	0.79448	0.19078	0.65559	-0.082651	-0.74533	0.702	0.90166	0.45607	0.70819
BNC2	10	0.38034	2.5042	0.005	0.14286	0.012272	0.24063	0.3654	2.4061	0.016	0.16842	0.016124	0.12442
BNIP1	10	-0.25795	-1.7998	0.128	0.64646	0.071896	0.43573	-0.21945	-1.5317	0.259	0.6475	0.1256	0.37817
BNIP2	10	0.0041897	0.034699	0.913	0.98067	0.97232	0.99451	-0.058684	-0.48603	0.819	0.95716	0.62694	0.80741
BNIP3L	10	0.055232	0.56971	0.645	0.9662	0.56888	0.89166	0.0599	0.6179	0.602	0.86869	0.53664	0.75694
BNIP3	10	0.097935	0.69017	0.453	0.93725	0.49009	0.86138	0.32353	2.2811	0.033	0.275	0.022545	0.15548
BNIPL	10	-0.066571	-0.63634	0.723	0.97154	0.52456	0.88013	-0.24527	-2.3442	0.211	0.60983	0.019068	0.14021
BOD1	10	0.0062092	0.059622	0.907	0.98067	0.95246	0.99008	0.15873	1.5243	0.232	0.62198	0.12744	0.37817
BOK	10	0.031035	0.36	0.77	0.97382	0.71885	0.9222	0.15819	1.8352	0.236	0.62599	0.066472	0.27929
BOLL	10	0.069302	0.49598	0.574	0.9662	0.61991	0.90762	0.085811	0.61421	0.512	0.81947	0.53907	0.75819
BOP1	10	-0.076485	-0.41693	0.671	0.9662	0.67673	0.92151	-0.25665	-1.3987	0.186	0.57231	0.16189	0.41941
BORA	10	-0.1487	-0.78715	0.372	0.87943	0.43119	0.8203	-0.24968	-1.3217	0.205	0.59942	0.18627	0.4521
BPTF	10	-0.60096	-3.5523	0	0	0.00038185	0.031821	-0.5036	-2.9813	0.009	0.11842	0.0028705	0.036602
BRAF	10	-0.17545	-1.3222	0.301	0.82466	0.18609	0.65053	-0.22155	-1.6699	0.252	0.64377	0.094947	0.31913
BRAP	10	-0.037645	-0.29695	0.868	0.98067	0.76651	0.93675	-0.0092323	-0.072832	0.953	0.98349	0.94194	0.98324
BRAT1	10	-0.15609	-0.93589	0.352	0.8652	0.34933	0.77975	-0.24096	-1.4449	0.221	0.6158	0.14848	0.40459
BRCA1	10	0.011604	0.094412	0.883	0.98067	0.92478	0.98293	-0.22892	-1.8623	0.234	0.62234	0.062566	0.2729
BRCA2	10	-0.11321	-0.6567	0.503	0.95185	0.51138	0.87152	-0.31444	-1.8237	0.111	0.4856	0.068204	0.27953
BRCC3	10	-0.045772	-0.36768	0.821	0.97655	0.71311	0.92151	-0.077968	-0.62641	0.725	0.91772	0.53105	0.75473
BRD1	10	-0.018249	-0.12376	0.968	0.99384	0.90151	0.97669	-0.076266	-0.51734	0.734	0.92453	0.60492	0.79805
BRD2	10	0.01607	0.11867	0.857	0.97945	0.90553	0.97669	0.20439	1.5097	0.136	0.50175	0.13112	0.38321
BRD3	10	0.17881	1.5142	0.168	0.6971	0.12998	0.55512	0.041164	0.34857	0.681	0.89605	0.72741	0.86085
BRD4	10	0.12083	0.9413	0.336	0.86076	0.34655	0.77975	-0.03835	-0.29875	0.904	0.96996	0.76513	0.88013
BRD7	10	0.19451	1.1555	0.14	0.65919	0.24788	0.69898	-0.041606	-0.24706	0.889	0.96736	0.80486	0.89828
BRD8	10	-0.62723	-2.944	0	0	0.0032405	0.098196	-1.1029	-5.1664	0	0	2.3861e-07	1.8355e-05
BRDT	10	0.17504	1.0986	0.179	0.72177	0.27195	0.72436	0.25979	1.6315	0.075	0.41436	0.10278	0.33369
BRE	10	0.21643	1.5971	0.101	0.57714	0.11025	0.50807	0.37085	2.7387	0.015	0.16842	0.0061681	0.065619
BRF1	10	-0.38398	-2.0543	0.031	0.36471	0.039943	0.36747	-0.85534	-4.572	0	0	4.8308e-06	0.0001858
BRF2	10	-0.35435	-1.5504	0.041	0.42157	0.12105	0.5396	-0.5447	-2.38	0.005	0.083333	0.017312	0.13216
BRIP1	10	-0.19762	-1.2114	0.25	0.79114	0.22576	0.68474	-0.52947	-3.2433	0.006	0.085714	0.0011816	0.017903
BRIX1	10	-0.10003	-0.70138	0.562	0.96422	0.48307	0.86138	-0.32476	-2.2767	0.1	0.46296	0.022807	0.15621
BRMS1L	10	-0.079352	-0.57542	0.659	0.9662	0.56501	0.89024	-0.095507	-0.69275	0.654	0.8898	0.48847	0.73343
BRMS1	10	-0.14348	-1.1495	0.392	0.88889	0.25036	0.70128	-0.15168	-1.2161	0.447	0.78975	0.22396	0.49537
BRPF1	10	-0.41564	-2.2239	0.019	0.30645	0.026153	0.31677	-0.449	-2.405	0.026	0.24074	0.016173	0.12442
BRPF3	10	0.027421	0.20814	0.789	0.97655	0.83512	0.95525	0.0034653	0.026312	0.873	0.96397	0.97901	0.99374
BRSK1	10	0.30318	0.98391	0.021	0.31343	0.32516	0.76508	0.12258	0.39761	0.348	0.70741	0.69091	0.83984
BRSK2	10	0.33756	2.8501	0.01	0.20408	0.0043699	0.115	0.21652	1.8282	0.118	0.4856	0.067521	0.27953
BRWD1	10	0.12392	1.0635	0.326	0.84456	0.28753	0.74214	-0.18466	-1.5844	0.344	0.70741	0.1131	0.35017
BSN	10	-0.011802	-0.074889	0.996	0.999	0.9403	0.98873	0.29916	1.9021	0.046	0.33094	0.057156	0.2598
BSPRY	10	-0.12561	-1.0138	0.46	0.93725	0.31066	0.7578	0.16188	1.3077	0.226	0.6158	0.19098	0.4591
BTBD8	10	0.075918	0.45967	0.542	0.96127	0.64576	0.91164	0.43794	2.6534	0.006	0.085714	0.0079681	0.078119
BTD	10	-0.034929	-0.22734	0.883	0.98067	0.82016	0.95298	-0.049446	-0.32189	0.854	0.95749	0.74753	0.86923
BTF3	10	0.069615	0.36541	0.573	0.9662	0.71481	0.92151	-0.13318	-0.69826	0.501	0.81947	0.48501	0.73155
BTG4	10	0.11058	0.91272	0.392	0.88889	0.36139	0.79076	-0.04879	-0.40264	0.855	0.95749	0.68721	0.83972
BTK	10	0.16311	1.1804	0.211	0.76042	0.23786	0.69347	0.20588	1.4899	0.13	0.49808	0.13625	0.38402
BTRC	10	0.021089	0.16008	0.832	0.97655	0.87282	0.96551	0.17411	1.3224	0.199	0.59347	0.18605	0.4521
BUB1B	10	-0.31003	-2.3232	0.069	0.5188	0.02017	0.26893	0.015214	0.11414	0.814	0.95657	0.90913	0.97129
BUB1	10	0.23547	1.8054	0.069	0.5188	0.07101	0.43565	0.17423	1.336	0.199	0.59347	0.18156	0.44909
BUB3	10	-0.84963	-3.3051	0	0	0.00094944	0.048902	-1.1022	-4.2848	0	0	1.8289e-05	0.00057152
BUD13	10	-0.32454	-1.484	0.061	0.50769	0.13781	0.56914	-0.57554	-2.6281	0.004	0.068966	0.0085874	0.082081
BUD31	10	-0.56677	-2.4608	0.002	0.086957	0.013864	0.25612	-0.96815	-4.1849	0	0	2.8523e-05	0.00081495
BYSL	10	-0.51132	-2.7285	0.005	0.14286	0.006363	0.15519	-0.68418	-3.6505	0.001	0.02	0.00026175	0.0055691
C10orf107	10	-0.12472	-1.1608	0.463	0.93725	0.24572	0.69773	-0.29938	-2.7857	0.125	0.49407	0.0053404	0.058686
C10orf10	10	-0.040186	-0.46491	0.853	0.97945	0.642	0.91164	-0.22566	-2.6104	0.24	0.62992	0.0090434	0.082308
C10orf111	10	-0.023311	-0.23319	0.938	0.98861	0.81561	0.95298	0.024925	0.24939	0.776	0.94519	0.80306	0.89828
C10orf113	10	0.22407	1.342	0.084	0.54902	0.17959	0.64163	0.43705	2.6188	0.006	0.085714	0.0088249	0.082308
C10orf114	10	-0.2071	-1.634	0.224	0.77241	0.10226	0.49166	-0.12502	-0.98726	0.529	0.82527	0.32352	0.5991
C10orf118	10	0.08035	0.6692	0.519	0.95446	0.50337	0.86641	0.27981	2.3317	0.056	0.35897	0.019714	0.1439
C10orf11	10	0.054236	0.50308	0.654	0.9662	0.61491	0.90762	0.20455	1.8977	0.135	0.50175	0.057742	0.26108
C10orf120	10	0.0073098	0.04548	0.902	0.98067	0.96372	0.99451	0.27394	1.7059	0.062	0.37576	0.088018	0.31212
C10orf128	10	0.071808	0.51675	0.565	0.96422	0.60533	0.90762	0.064948	0.46747	0.581	0.85567	0.64016	0.81446
C10orf12	10	-0.10116	-0.95332	0.555	0.96422	0.34043	0.77975	-0.16354	-1.5413	0.413	0.76952	0.12325	0.37461
C10orf137	10	0.30314	2.0498	0.021	0.31343	0.040385	0.36747	0.20979	1.4186	0.126	0.49606	0.15602	0.41494
C10orf25	10	-0.0228	-0.21974	0.939	0.98861	0.82607	0.95318	-0.02602	-0.2508	0.964	0.98569	0.80197	0.89828
C10orf2	10	-0.19087	-1.4193	0.265	0.7994	0.1558	0.59374	-0.23823	-1.7717	0.223	0.6158	0.07644	0.29288
C10orf32	10	-0.25531	-1.5503	0.132	0.65919	0.12108	0.5396	-0.35605	-2.162	0.068	0.39766	0.030619	0.19018
C10orf35	10	-0.050278	-0.39186	0.8	0.97655	0.69516	0.92151	-0.090107	-0.70246	0.673	0.89376	0.48239	0.72979
C10orf54	10	-0.088961	-0.90101	0.614	0.9662	0.36758	0.7982	-0.053299	-0.54025	0.84	0.95716	0.58903	0.79029
C10orf67	10	0.27028	1.9509	0.042	0.42157	0.051071	0.40857	0.19819	1.4306	0.143	0.50175	0.15254	0.40849
C10orf68	10	-0.18597	-1.4182	0.277	0.80508	0.15612	0.59374	-0.13409	-1.0233	0.5	0.81947	0.30618	0.5829
C10orf76	10	-0.14434	-1.0884	0.39	0.88838	0.27642	0.72933	-0.19815	-1.4946	0.312	0.68913	0.13502	0.38402
C10orf82	10	0.11967	1.0283	0.346	0.8652	0.30383	0.74834	0.15584	1.3393	0.241	0.63089	0.18048	0.44896
C10orf88	10	-0.31995	-2.3389	0.064	0.50769	0.019343	0.26269	-0.43635	-3.1897	0.028	0.25225	0.0014244	0.020348
C10orf90	10	0.061454	0.67535	0.613	0.9662	0.49946	0.86262	0.15003	1.6489	0.257	0.64573	0.099166	0.32728
C10orf95	10	-0.27245	-1.6793	0.104	0.58333	0.093091	0.48547	-0.17245	-1.0636	0.384	0.74275	0.2875	0.56534
C10orf99	10	0.16022	1.74	0.217	0.76042	0.081858	0.46725	-0.03591	-0.38994	0.916	0.97252	0.69658	0.8432
C11orf1	10	-0.07715	-0.83021	0.669	0.9662	0.40642	0.80503	0.053854	0.57967	0.631	0.88022	0.56214	0.77005
C11orf21	10	-0.23798	-1.7137	0.16	0.69264	0.086592	0.47366	-0.31336	-2.2567	0.114	0.4856	0.024029	0.16292
C11orf24	10	-0.094691	-0.88168	0.584	0.9662	0.37795	0.80458	-0.20695	-1.927	0.29	0.67599	0.053985	0.24993
C11orf30	10	-0.084542	-0.89936	0.637	0.9662	0.36846	0.7982	0.062602	0.6661	0.592	0.86423	0.50535	0.74425
C11orf31	10	-0.34169	-3.2027	0.049	0.4375	0.0013615	0.058731	-0.083633	-0.78449	0.696	0.90039	0.43275	0.688
C11orf35	10	-0.11027	-0.75092	0.521	0.95446	0.4527	0.83404	-0.06015	-0.40973	0.815	0.95657	0.682	0.83625
C11orf42	10	0.12949	1.2288	0.307	0.82493	0.21916	0.68454	0.17692	1.6795	0.193	0.5861	0.093059	0.31653
C11orf45	10	0.073852	0.45736	0.552	0.96167	0.64741	0.91164	0.15193	0.94138	0.252	0.64377	0.34651	0.62322
C11orf48	10	-0.063945	-0.68563	0.733	0.97154	0.49295	0.86138	-0.20632	-2.2114	0.292	0.67749	0.02701	0.17587
C11orf49	10	-0.20378	-1.1976	0.232	0.78114	0.23107	0.68744	-0.05869	-0.34581	0.819	0.95716	0.72949	0.86126
C11orf52	10	0.092102	0.62009	0.473	0.93725	0.5352	0.88074	0.1337	0.90044	0.305	0.68539	0.36788	0.63721
C11orf53	10	-0.027527	-0.20342	0.912	0.98067	0.83881	0.95525	0.14959	1.1066	0.258	0.64662	0.26848	0.54238
C11orf54	10	0.022776	0.19438	0.823	0.97655	0.84587	0.95525	-0.042283	-0.36093	0.883	0.96397	0.71815	0.85801
C11orf57	10	-0.088288	-0.49723	0.616	0.9662	0.61903	0.90762	-0.13873	-0.78137	0.48	0.81113	0.43459	0.68982
C11orf58	10	-0.032618	-0.27832	0.894	0.98067	0.78077	0.93689	0.030222	0.2579	0.742	0.92884	0.79648	0.89677
C11orf63	10	0.060572	0.36245	0.616	0.9662	0.71702	0.92162	0.31058	1.8606	0.042	0.33071	0.062806	0.2729
C11orf65	10	-0.23542	-1.8515	0.163	0.6971	0.064104	0.42872	-0.081404	-0.64072	0.704	0.90166	0.5217	0.75371
C11orf68	10	-0.08155	-0.4982	0.653	0.9662	0.61835	0.90762	-0.3366	-2.0556	0.09	0.45455	0.039819	0.21408
C11orf70	10	0.11038	1.0345	0.394	0.8914	0.30089	0.74466	0.20109	1.8851	0.139	0.50175	0.059416	0.2629
C11orf71	10	0.10235	0.84848	0.436	0.93177	0.39617	0.80503	0.11391	0.94448	0.393	0.75287	0.34492	0.62261
C11orf74	10	0.030873	0.18018	0.772	0.97382	0.85701	0.95697	0.023453	0.13698	0.783	0.94826	0.89105	0.96294
C11orf80	10	-0.031816	-0.25727	0.897	0.98067	0.79697	0.94205	0.20918	1.6933	0.127	0.49612	0.090392	0.31613
C11orf82	10	-0.079797	-0.45874	0.657	0.9662	0.64642	0.91164	-0.039267	-0.22589	0.9	0.96983	0.82129	0.91356
C11orf83	10	-0.34325	-2.8719	0.048	0.43243	0.0040803	0.11028	-0.51253	-4.2853	0.009	0.11842	1.8245e-05	0.00057152
C11orf84	10	0.15164	0.83338	0.237	0.78176	0.40463	0.80503	-0.27776	-1.5254	0.152	0.52055	0.12716	0.37817
C11orf85	10	0.077264	0.61812	0.532	0.95699	0.5365	0.88074	0.082295	0.65849	0.521	0.81947	0.51022	0.74594
C11orf86	10	-0.047096	-0.45219	0.811	0.97655	0.65113	0.91164	-0.12956	-1.244	0.513	0.81947	0.2135	0.48571
C11orf88	10	-0.069401	-0.71672	0.713	0.97154	0.47355	0.85396	-0.044415	-0.45871	0.872	0.96397	0.64644	0.81748
C11orf91	10	-0.050339	-0.45997	0.799	0.97655	0.64554	0.91164	-0.072154	-0.6594	0.751	0.93408	0.50964	0.74594
C11orf93	10	0.046835	0.27388	0.683	0.9662	0.78418	0.93689	0.16655	0.97444	0.213	0.6108	0.32984	0.60632
C11orf95	10	0.020242	0.18389	0.833	0.97655	0.8541	0.95653	-0.18331	-1.6651	0.35	0.70741	0.095902	0.31967
C11orf96	10	0.25593	1.8866	0.048	0.43243	0.059208	0.42872	0.23783	1.7533	0.098	0.45794	0.079544	0.29809
C12orf10	10	-0.060769	-0.55057	0.748	0.97154	0.58193	0.89599	-0.039207	-0.35526	0.9	0.96983	0.72239	0.86084
C12orf23	10	-0.079438	-0.44287	0.659	0.9662	0.65786	0.9188	-0.20209	-1.1266	0.305	0.68539	0.25993	0.53842
C12orf29	10	0.17075	1.3204	0.194	0.75	0.1867	0.65053	0.23794	1.8405	0.097	0.45755	0.065696	0.2772
C12orf39	10	0.045076	0.32016	0.693	0.96801	0.74884	0.93427	0.15849	1.1268	0.234	0.62234	0.25982	0.53842
C12orf42	10	0.043003	0.38139	0.708	0.97154	0.70291	0.92151	0.011176	0.099136	0.834	0.95716	0.92103	0.97603
C12orf43	10	-0.10632	-1.0485	0.536	0.95886	0.29439	0.74339	-0.016289	-0.16066	0.983	0.99193	0.87236	0.95444
C12orf44	10	-0.45437	-3.0403	0.009	0.20408	0.0023635	0.078783	-0.75848	-5.0719	0.001	0.02	3.9391e-07	2.6261e-05
C12orf45	10	-0.46949	-2.337	0.006	0.15	0.019439	0.26269	-0.65008	-3.2356	0.001	0.02	0.0012139	0.018083
C12orf49	10	-0.0006451	-0.0042111	0.942	0.98861	0.99664	0.99772	-0.13844	-0.90346	0.481	0.81113	0.36628	0.63602
C12orf4	10	-0.075833	-0.57032	0.674	0.9662	0.56846	0.89166	-0.12997	-0.97752	0.511	0.81947	0.32831	0.60463
C12orf50	10	0.145	1.3848	0.256	0.79448	0.16613	0.61528	0.085936	0.82072	0.512	0.81947	0.4118	0.67683
C12orf52	10	-0.037336	-0.40684	0.871	0.98067	0.68412	0.92151	-0.070008	-0.76288	0.765	0.94492	0.44554	0.70163
C12orf54	10	0.14817	1.1058	0.246	0.78413	0.26881	0.72436	0.19945	1.4887	0.143	0.50175	0.13658	0.38402
C12orf56	10	-0.13383	-0.87226	0.436	0.93177	0.38307	0.80503	0.09363	0.61075	0.487	0.81575	0.54137	0.75928
C12orf57	10	-0.18406	-2.0567	0.282	0.80508	0.039716	0.36747	-0.060046	-0.6713	0.815	0.95657	0.50203	0.74425
C12orf5	10	0.18389	0.3816	0.157	0.6886	0.70276	0.92151	-0.12906	-0.26734	0.513	0.81947	0.78921	0.89277
C12orf60	10	-0.0059151	-0.051631	0.961	0.99174	0.95882	0.9936	-0.017878	-0.15612	0.989	0.994	0.87594	0.95721
C12orf65	10	-0.0076413	-0.085908	0.969	0.99385	0.93154	0.98541	-0.15364	-1.7271	0.441	0.7847	0.084153	0.30305
C12orf66	10	0.26572	1.8161	0.043	0.42157	0.06936	0.43298	0.30495	2.0846	0.045	0.33094	0.037109	0.20278
C12orf68	10	-0.071583	-0.5099	0.701	0.97091	0.61012	0.90762	0.26079	1.8589	0.074	0.41436	0.06304	0.2729
C12orf73	10	-0.28781	-2.0445	0.09	0.5503	0.0409	0.36747	0.012116	0.086168	0.826	0.95716	0.93133	0.97932
C12orf75	10	0.039258	0.19316	0.728	0.97154	0.84684	0.95525	0.14397	0.70909	0.279	0.66746	0.47827	0.72889
C12orf76	10	0.21366	0.52126	0.104	0.58333	0.60219	0.90762	0.040195	0.097995	0.689	0.90039	0.92194	0.97603
C13orf45	10	-0.010904	-0.06977	0.987	0.99596	0.94438	0.98873	0.23347	1.498	0.101	0.46544	0.13412	0.38402
C14orf105	10	0.20883	1.4533	0.112	0.6087	0.14615	0.5813	0.23154	1.6119	0.104	0.47706	0.10699	0.33858
C14orf119	10	-0.27169	-2.1524	0.104	0.58333	0.031365	0.33529	-0.10898	-0.86415	0.599	0.86812	0.38751	0.65568
C14orf132	10	0.16315	1.445	0.211	0.76042	0.14845	0.5813	0.096395	0.85392	0.474	0.8075	0.39315	0.65965
C14orf142	10	-0.39612	-3.358	0.026	0.34568	0.00078504	0.046179	0.012857	0.10917	0.824	0.95716	0.91306	0.97446
C14orf159	10	-0.010174	-0.062869	0.986	0.99596	0.94987	0.98991	0.0028082	0.01736	0.879	0.96397	0.98615	0.99374
C14orf166B	10	-0.0096538	-0.087379	0.985	0.99596	0.93037	0.98541	0.21917	1.9852	0.115	0.4856	0.047121	0.2392
C14orf166	10	-0.1302	-0.82518	0.444	0.93725	0.40927	0.80503	-0.22435	-1.4219	0.245	0.63731	0.15504	0.41345
C14orf169	10	-0.097109	-0.83391	0.576	0.9662	0.40433	0.80503	0.10684	0.91842	0.426	0.77596	0.3584	0.63128
C14orf180	10	-0.040712	-0.36379	0.85	0.97945	0.71602	0.92151	0.14909	1.3331	0.261	0.64925	0.18251	0.44954
C14orf183	10	-0.17312	-1.2668	0.31	0.82493	0.20521	0.66845	0.14122	1.0337	0.286	0.67523	0.30127	0.5829
C14orf1	10	0.015893	0.13511	0.858	0.97945	0.89252	0.97331	-0.25467	-2.164	0.191	0.58232	0.030465	0.19018
C14orf28	10	0.048856	0.37739	0.674	0.9662	0.70589	0.92151	0.050538	0.39045	0.641	0.88536	0.69621	0.8432
C14orf2	10	-0.25151	-1.9416	0.136	0.65919	0.052183	0.41276	-0.06755	-0.5218	0.776	0.94519	0.60181	0.79583
C14orf37	10	-0.078809	-0.5771	0.661	0.9662	0.56387	0.89024	-0.1523	-1.1154	0.446	0.78975	0.26466	0.54012
C14orf79	10	0.033355	0.29528	0.759	0.97382	0.76778	0.93675	0.12847	1.1376	0.323	0.69462	0.25527	0.53404
C14orf80	10	-1.0894	-4.401	0	0	1.0774e-05	0.0053869	-1.3289	-5.3519	0	0	8.7033e-08	9.6703e-06
C14orf93	10	-0.046475	-0.35068	0.815	0.97655	0.72583	0.9258	-0.13098	-0.98834	0.507	0.81947	0.32299	0.5991
C15orf26	10	0.13259	0.92827	0.294	0.81215	0.35327	0.78202	-0.095178	-0.66622	0.654	0.8898	0.50527	0.74425
C15orf27	10	0.073682	0.40189	0.552	0.96167	0.68777	0.92151	-0.0067833	-0.037009	0.934	0.97393	0.97048	0.99374
C15orf38	10	-0.061956	-0.65571	0.741	0.97154	0.51201	0.87152	0.093705	0.99287	0.487	0.81575	0.32077	0.59623
C15orf39	10	-0.10071	-0.85665	0.559	0.96422	0.39164	0.80503	-0.24993	-2.1256	0.205	0.59942	0.033537	0.19275
C15orf40	10	-0.066248	-0.54751	0.724	0.97154	0.58403	0.89599	-0.20383	-1.6844	0.3	0.68539	0.092101	0.31653
C15orf41	10	-0.13338	-0.98871	0.437	0.93177	0.3228	0.763	-0.31907	-2.3648	0.107	0.4856	0.018038	0.13461
C15orf43	10	-0.30655	-2.0961	0.073	0.52857	0.036077	0.35719	-0.21054	-1.4402	0.281	0.66746	0.14982	0.40491
C15orf48	10	-0.15149	-1.6241	0.365	0.86905	0.10436	0.49697	-0.039431	-0.42345	0.899	0.96983	0.67197	0.83196
C15orf52	10	-0.04959	-0.42632	0.801	0.97655	0.66987	0.92151	-0.051575	-0.44343	0.846	0.95716	0.65745	0.82387
C15orf54	10	-0.036398	-0.39982	0.876	0.98067	0.68929	0.92151	0.11058	1.2149	0.409	0.76952	0.2244	0.49537
C15orf56	10	-0.0049055	-0.034205	0.957	0.98966	0.97271	0.99451	0.20588	1.4377	0.13	0.49808	0.15051	0.40568
C15orf57	10	-0.17499	-1.2983	0.304	0.82493	0.19419	0.66328	0.068107	0.50583	0.568	0.84398	0.61298	0.80021
C15orf60	10	0.0005393	0.0041113	0.936	0.98861	0.99672	0.99772	-0.16524	-1.2592	0.406	0.76894	0.20797	0.47919
C15orf61	10	-0.10612	-1.1711	0.54	0.96127	0.24157	0.6954	-0.074275	-0.82004	0.74	0.92848	0.41219	0.67683
C16orf11	10	0.23153	2.3398	0.074	0.52857	0.019294	0.26269	0.14767	1.4923	0.268	0.65686	0.13561	0.38402
C16orf13	10	-0.069447	-0.52684	0.713	0.97154	0.5983	0.90515	-0.0073715	-0.055991	0.939	0.97813	0.95535	0.99074
C16orf45	10	-0.04589	-0.48051	0.82	0.97655	0.63087	0.91164	0.044411	0.46534	0.671	0.89348	0.64169	0.81536
C16orf52	10	-0.1844	-1.7901	0.282	0.80508	0.073432	0.44236	-0.013633	-0.13252	0.974	0.98889	0.89457	0.96294
C16orf54	10	-0.030054	-0.24686	0.904	0.98067	0.80501	0.94708	-0.062483	-0.51339	0.807	0.95657	0.60768	0.80021
C16orf55	10	-0.025299	-0.15857	0.922	0.98399	0.87401	0.96576	0.0017212	0.010791	0.882	0.96397	0.99139	0.99537
C16orf58	10	0.04338	0.36851	0.705	0.97154	0.7125	0.92151	-0.14252	-1.2099	0.474	0.8075	0.2263	0.49711
C16orf59	10	-0.1465	-0.5456	0.38	0.88167	0.58534	0.89639	-0.6823	-2.5204	0.001	0.02	0.011723	0.10019
C16orf62	10	0.072063	0.41597	0.563	0.96422	0.67743	0.92151	-0.21646	-1.2477	0.265	0.65111	0.21213	0.48543
C16orf70	10	-0.031848	-0.17188	0.896	0.98067	0.86353	0.96162	0.25723	1.3912	0.079	0.42246	0.16417	0.42311
C16orf71	10	-0.0026091	-0.022036	0.951	0.98861	0.98242	0.99451	0.097838	0.82641	0.465	0.8045	0.40857	0.67532
C16orf72	10	-0.39248	-1.7502	0.027	0.34568	0.080086	0.46292	-0.28857	-1.2873	0.142	0.50175	0.198	0.46528
C16orf74	10	0.10759	0.59794	0.406	0.91236	0.54988	0.88632	0.089946	0.50034	0.501	0.81947	0.61684	0.80159
C16orf78	10	0.070845	0.47322	0.568	0.96435	0.63606	0.91164	0.31404	2.1012	0.041	0.3254	0.03562	0.20082
